ticker,PX_TO_BOOK_RATIO,PE_RATIO,RETURN_COM_EQY,RETURN_ON_ASSET,EQY_FLOAT_PCT,CUR_MKT_CAP,EQY_DVD_YLD_IND,TOT_DEBT_TO_TOT_EQY,BS_TOT_ASSET,SALES_GROWTH,CASH_AND_NEAR_CASH_ITEM,DVD_SH_12M
402340,0.4239896780775524,,-0.08038678906446914,-0.06414298757773092,67.80404574524378,144725348712448.0,14.000000000000002,0.9639497984091256,17970008000000.0,-19.892280501040876,1270893000000.0,
329180,2.393803575135164,504.96442611968905,0.004704232961120011,0.001477190022608828,30.763658674905898,69064483405824.0,118.0,60.837186854068534,17133618109000.0,32.26412910703523,928043107000.0,0.0
373220,4.853608358269423,79.24958373074249,0.06355454631943776,0.029549328788637426,20.154,111501000048640.0,,54.11852029844003,45437144000000.0,31.825405044469406,5068783000000.0,
005935,0.13257172060136116,3.235508318070098,0.041446129034146656,0.032009096692103445,682.030718642329,1205515715608576.0,81.0,3.5913734466643232,455905980000000.0,-14.325404881875926,69080893000000.0,1445.0
005930,1.1952429303892371,29.170764517852604,0.041446129034146656,0.032009096692103445,94.93816607930515,1763122192842752.0,55.00000000000001,3.5913734466643232,455905980000000.0,-14.325404881875926,69080893000000.0,1444.0
000660,1.7765306956240092,,-0.1560739583169194,-0.08924929641983302,78.52663936921009,1194856546304000.0,18.0,60.740006150909224,100330165000000.0,-26.569772267975882,7587329000000.0,1200.0
034020,1.3981704728136275,178.98661779668333,0.007813841915703949,0.0023316117465647514,69.24504946951417,82831606808576.0,,73.36619097135726,24640834000000.0,14.06407981886853,2620187000000.0,0.0
005380,0.3660390317390304,2.8304988453500424,0.13682527583407714,0.044450344541705315,96.06938166657186,160504286806016.0,163.0,136.0108306283628,282463355000000.0,14.42975591057733,19166619000000.0,3000.0
028260,0.5818411361224703,8.980402544063761,0.07282780711336696,0.035461859353444126,54.15772280650841,69135857876992.0,69.0,14.992618648577652,66127029212670.0,-2.9330947359254442,3119516302890.0,2550.0
207940,5.574896567119278,63.89709037057933,0.09117117315759111,0.05257354378164818,71.31055052206639,68140281102336.0,,19.422552779078057,16046197209190.0,23.099812704725466,367937365040.0,
009150,1.375259951278835,25.51713763413068,0.054978686479533,0.03733885792542995,79.57363730687183,69050185023488.0,26.0,20.343675071788976,11657871601840.0,-5.646315418197142,1669189597130.0,1150.0
012450,2.1028814496125814,9.075998876007665,0.2560435466306131,0.04712587709525705,62.650999669807575,67243564072960.0,54.0,118.1857969517113,19542899925700.0,11.745714014309822,1806358649280.0,1973.0332
032830,0.25885378701410455,5.795981078816155,0.04616342655600732,0.006205092379000642,52.01199997021854,52974562836480.0,177.0,46.22653166886863,314655050000000.0,21.02055222158614,7377872000000.0,3700.0
105560,0.2904627650174096,3.5838313564901148,0.08414228269582766,0.006543583083658666,98.39109829493005,57353009364992.0,284.0,214.11756938514324,715725416000000.0,18.54485868825115,30787443000000.0,1530.0
000270,0.6637382028152137,3.5204171477085726,0.2043762276266702,0.11373640992172862,60.678674691287384,63933918478336.0,430.99999999999994,8.866637205948464,80627826000000.0,15.306769441695101,14353142000000.0,0.0
006400,1.8497867492774402,17.042589953840952,0.11482135975536943,0.06249829177558928,78.54375414112117,53354281566208.0,36.0,31.325890589179313,34038860192960.0,6.523128388947792,1524461361450.0,977.12604
267260,2.921235076171905,11.814927517711176,0.27706167267980697,0.09696668890938118,64.32900123313881,50497763409920.0,59.0,70.85548768702884,2910160077690.0,28.429555513889394,176097890080.0,1000.0
010120,1.253833262441243,10.426828452361061,0.12611456949008656,0.05838169119090333,51.0241230067342,46569814491136.0,19.0,57.69456886501282,3732891934230.0,25.270792671400006,583925062420.0,560.0
012330,0.46327017698101164,5.500095254150745,0.0872741682126123,0.06004982273270279,64.4302549580776,45392917954560.0,128.0,6.769172872120379,58585845000000.0,14.15641066874107,5079414000000.0,1000.0
055550,0.2983564871288511,3.6693549172558066,0.08363686958245345,0.006441443749478089,95.49641638180675,46516127399936.0,282.0,235.42630633048213,691795333000000.0,13.462289273659886,35765819000000.0,1575.0
006800,0.26529113906284285,9.142033438937823,0.029193728645531433,0.002742112671500358,75.87472707977092,46310791053312.0,38.0,283.71267184627953,128206948648960.0,-10.950809291831654,14759700888000.0,0.0
005490,0.5994069254164461,19.11180858448465,0.03185405779176872,0.016938989377115632,102.48302352986704,38813158080512.0,190.0,49.67036019808086,101486316000000.0,-9.349092866825806,6670879000000.0,7500.0
068270,2.5505468359016557,80.85539617417896,0.05072413475762127,0.04144524174058237,65.06263770891576,43392415301632.0,38.0,11.132768680117781,19956813831270.0,-4.7082959776484055,564611719560.0,457.87546
298040,1.4233862249094318,13.258055422007565,0.11288467936709311,0.02453411578046282,45.89999872204349,40953037455360.0,16.0,122.50909372331853,4761300218430.0,22.518381131041647,277804610270.0,2500.0
034730,0.4083824848238908,,-0.03670872018649288,-0.0038697095720690976,66.48899956061777,29987103047680.0,147.0,406.2726537356573,206970264000000.0,-2.484026383109051,22683670000000.0,1500.0
042660,1.7851806096394915,48.0941632200925,0.0632907812260056,0.012214153911155603,46.427967151494855,38631716683776.0,,52.602276149888226,13944772692390.0,52.429696311475546,1799307748620.0,0.0
042700,9.63523444185218,20.625177100863972,0.5554444878935905,0.4531058145274904,43.97900026400851,36992670760960.0,21.0,0.19505547329580195,723839103740.0,-51.46142156615527,179732421450.0,0.0
086790,0.24441689699797228,2.810339298913663,0.0900699048145258,0.005896812900303613,99.1991080153121,33937072062464.0,356.0,246.90581257025653,591925995000000.0,10.283816330987865,34480458000000.0,1800.0
035420,1.4146128196047347,32.42800232014436,0.044061740618408216,0.029074297272390373,100.05551801179544,32139236081664.0,122.0,18.00773894881837,35737826964390.0,17.64660557587282,3576456533320.0,1205.0
009540,0.7594024183426087,33.922026639962226,0.022602111548142997,0.0071374575298158455,64.86500035424069,31963014496256.0,200.99999999999997,40.529896062482976,32242568184000.0,23.085081084709184,3018390965000.0,0.0
010130,0.9004644039384728,16.03676051423228,0.057208610902857816,0.043676417626338414,27.509839131221923,28348101165056.0,160.0,9.859904806641708,12046071311650.0,-13.501995177037108,676775222860.0,15000.0
051910,1.0441071771323278,25.12500256469972,0.04204101878823554,0.01839668928019556,75.93619398455705,33619156402176.0,47.0,68.11537618654967,77466694000000.0,8.368501255441714,9084899000000.0,3500.0
015760,0.3227601082316772,,-0.12626053896613948,-0.020326011197349867,47.399999922425565,28278517661696.0,350.0,383.42738213481846,239714965000000.0,23.99906478074512,4342887000000.0,0.0
010140,1.8623507621139117,,-0.04215984565170964,-0.009856891625646342,72.06868998200076,27290104758272.0,,107.03386465440934,15593389152390.0,34.73301873308468,583811700100.0,0.0
000150,0.7340814260575073,,-0.22740525699719252,-0.014222074308316499,78.14994894123159,29559424548864.0,28.999999999999996,480.69031717425344,28286809000000.0,12.558249140101694,3539167000000.0,0.0
003670,12.483406988910897,1021.4613668671419,0.011914884576276558,0.005235513446605497,41.50600097695028,25794392883200.0,9.0,127.40928766562361,6334593297870.0,44.15484122780372,389579199480.0,0.0
316140,0.24235897485471242,3.0621893088470675,0.08295041147447993,0.005122838915518351,98.19331421058308,24014625964032.0,420.0,237.1019836149951,498004936000000.0,3.2554925931665486,30556618000000.0,360.0
064350,1.7451282837611841,18.20531584524298,0.10063602823993827,0.03199644663406635,66.2269996471487,24338732417024.0,27.0,35.41533687771826,5241484775000.0,13.40476690515962,396141243000.0,100.0
267250,0.5649656639261463,15.652668216814948,0.03570968534000662,0.003960662171355065,63.34300054493923,20423177666560.0,179.0,269.30048036486,67982820888000.0,0.7915157588406126,4400502623000.0,3700.0
