ticker,year,roe
033780,2021,
033780,2022,0.10904077055756961
033780,2023,0.09763759955422509
028670,2022,0.15071014494043988
028670,2023,0.0532353243091021
139130,2022,0.07359663383695998
139130,2023,0.0672934031222508
139480,2022,0.09183843669567142
139480,2023,-0.007863096098543295
00680K,2021,
00680K,2022,0.06248485256328764
00680K,2023,0.029193728645531433
007340,2021,
007340,2022,0.206752514873015
007340,2023,0.2728585132802075
004990,2021,
004990,2022,0.02399953254344683
004990,2023,-0.0021996120368158985
009970,2021,
009970,2022,0.21527100994761256
009970,2023,0.16884104142150494
012750,2021,
012750,2022,0.09916957574529787
012750,2023,0.1214267795989467
229640,2021,
229640,2022,-0.01294058150899049
229640,2023,0.028148862674034172
000155,2021,
000155,2022,-0.3888905795884704
000155,2023,-0.22740525699719252
120110,2021,
120110,2022,0.06890659593748207
120110,2023,0.015802673769051406
103140,2021,
103140,2022,0.09518356707979862
103140,2023,0.08220741879826107
483650,2022,0.5265639327381927
483650,2023,1.581413834865017
051600,2021,
051600,2022,0.08240450816942796
051600,2023,0.13075227403916984
001430,2021,
001430,2022,0.048247538397206954
001430,2023,0.06678364230229841
001450,2021,
001450,2022,0.13619728267045467
001450,2023,0.0738197840025773
112610,2021,
112610,2022,0.0021687086540847695
112610,2023,0.02182752644745388
026960,2022,0.10967994604199803
026960,2023,0.09231502840890192
011210,2021,
011210,2022,0.01970912351404248
011210,2023,0.027258222640856578
007810,2022,0.1438326876143666
007810,2023,-0.08052258446925661
008770,2021,
008770,2022,-0.09293922636886495
008770,2023,0.14976036321486585
018670,2021,
018670,2022,0.10982027468548697
018670,2023,0.1285220287161249
069960,2021,
069960,2022,0.031428870255686546
069960,2023,-0.017625132084386052
279570,2021,
279570,2022,0.046480726703182776
279570,2023,0.006991905990189393
097230,2021,
097230,2022,-0.1302719604421175
097230,2023,-0.31413696237096145
282330,2021,
282330,2022,0.2010526752192898
282330,2023,0.19228001405948372
017960,2021,
017960,2022,0.050129845914341754
017960,2023,-0.03132064402554933
008930,2022,0.09549491857037021
008930,2023,0.15225164281294762
000240,2021,
000240,2022,0.043052237032090206
000240,2023,0.04756285226495169
005440,2021,
005440,2022,0.032237413723400825
005440,2023,0.49807042148424285
192820,2021,
192820,2022,0.03587469188377494
192820,2023,0.12109924850771438
009420,2021,
009420,2022,0.0014945853435485157
009420,2023,0.019796088458782137
004370,2021,
004370,2022,0.05039655569731525
004370,2023,0.07261944218644137
000120,2021,
000120,2022,0.05084444719574735
000120,2023,0.06266613576910811
322000,2021,
322000,2022,0.15885941282608948
322000,2023,-0.0076056709675879335
077970,2021,
077970,2022,-0.10252970102493289
077970,2023,0.021869206931418427
030000,2021,
030000,2022,0.15983910729515985
030000,2023,0.14992546671789495
161890,2021,
161890,2022,-0.0330995701986563
161890,2023,0.007910019776851199
