cohort,event_label,event_rel_time,coefficient,car
2014-02-01,Japan Stewardship Code (Feb 2014),-12,-0.029862629772629573,-0.029862629772629573
2014-02-01,Japan Stewardship Code (Feb 2014),-11,-0.004050042900042794,-0.03391267267267237
2014-02-01,Japan Stewardship Code (Feb 2014),-10,-0.05363745602745568,-0.08755012870012804
2014-02-01,Japan Stewardship Code (Feb 2014),-9,-0.10322486915486881,-0.19077499785499685
2014-02-01,Japan Stewardship Code (Feb 2014),-8,-0.04681228228228207,-0.23758728013727892
2014-02-01,Japan Stewardship Code (Feb 2014),-7,-0.07239969540969518,-0.3099869755469741
2014-02-01,Japan Stewardship Code (Feb 2014),-6,-0.03278710853710859,-0.3427740840840827
2014-02-01,Japan Stewardship Code (Feb 2014),-5,0.03122547833547845,-0.3115486057486042
2014-02-01,Japan Stewardship Code (Feb 2014),-4,0.03303806520806543,-0.2785105405405388
2014-02-01,Japan Stewardship Code (Feb 2014),-3,0.07895065208065222,-0.1995598884598866
2014-02-01,Japan Stewardship Code (Feb 2014),-2,0.006063238953239014,-0.19349664950664758
2014-02-01,Japan Stewardship Code (Feb 2014),-1,0.0,-0.19349664950664758
2014-02-01,Japan Stewardship Code (Feb 2014),0,0.0016884126984127446,-0.19180823680823483
2014-02-01,Japan Stewardship Code (Feb 2014),1,0.08630099957099949,-0.10550723723723535
2014-02-01,Japan Stewardship Code (Feb 2014),2,0.09411358644358649,-0.01139365079364886
2014-02-01,Japan Stewardship Code (Feb 2014),3,0.13622617331617326,0.1248325225225244
2014-02-01,Japan Stewardship Code (Feb 2014),4,0.1285387601887604,0.2533712827112848
2014-02-01,Japan Stewardship Code (Feb 2014),5,0.1247513470613471,0.3781226297726319
2014-02-01,Japan Stewardship Code (Feb 2014),6,0.14276393393393388,0.5208865637065658
2014-02-01,Japan Stewardship Code (Feb 2014),7,0.12027652080652088,0.6411630845130867
2014-02-01,Japan Stewardship Code (Feb 2014),8,0.02488910767910768,0.6660521921921944
2014-02-01,Japan Stewardship Code (Feb 2014),9,0.0352016945516944,0.7012538867438888
2014-02-01,Japan Stewardship Code (Feb 2014),10,0.04721428142428137,0.7484681681681701
2014-02-01,Japan Stewardship Code (Feb 2014),11,0.03112686829686811,0.7795950364650382
2014-02-01,Japan Stewardship Code (Feb 2014),12,0.07133945516945508,0.8509344916344933
2014-02-01,Japan Stewardship Code (Feb 2014),13,0.09405204204204198,0.9449865336765353
2014-02-01,Japan Stewardship Code (Feb 2014),14,0.10976462891462878,1.054751162591164
2014-02-01,Japan Stewardship Code (Feb 2014),15,0.16177721578721557,1.2165283783783796
2014-02-01,Japan Stewardship Code (Feb 2014),16,0.09298980265980256,1.3095181810381822
2014-02-01,Japan Stewardship Code (Feb 2014),17,0.09190238953238941,1.4014205705705716
2014-02-01,Japan Stewardship Code (Feb 2014),18,0.03401497640497632,1.435435546975548
2014-02-01,Japan Stewardship Code (Feb 2014),19,0.05152756327756313,1.4869631102531111
2014-02-01,Japan Stewardship Code (Feb 2014),20,0.10754015015014992,1.594503260403261
2014-02-01,Japan Stewardship Code (Feb 2014),21,0.11735273702273691,1.711855997425998
2014-02-01,Japan Stewardship Code (Feb 2014),22,0.06116532389532385,1.7730213213213217
2014-02-01,Japan Stewardship Code (Feb 2014),23,0.09557791076791058,1.8685992320892324
2014-02-01,Japan Stewardship Code (Feb 2014),24,0.11159049764049733,1.9801897297297297
2015-06-01,TSE Corporate Governance Code (Jun 2015),-12,0.06632063063063096,0.06632063063063096
2015-06-01,TSE Corporate Governance Code (Jun 2015),-11,0.059772522522522714,0.12609315315315367
2015-06-01,TSE Corporate Governance Code (Jun 2015),-10,0.07502441441441449,0.20111756756756816
2015-06-01,TSE Corporate Governance Code (Jun 2015),-9,0.0497763063063065,0.25089387387387463
2015-06-01,TSE Corporate Governance Code (Jun 2015),-8,-0.048371801801801645,0.202522072072073
2015-06-01,TSE Corporate Governance Code (Jun 2015),-7,-0.04081990990990991,0.1617021621621631
2015-06-01,TSE Corporate Governance Code (Jun 2015),-6,-0.03156801801801791,0.1301341441441452
2015-06-01,TSE Corporate Governance Code (Jun 2015),-5,-0.05041612612612614,0.07971801801801905
2015-06-01,TSE Corporate Governance Code (Jun 2015),-4,-0.012964234234234151,0.0667537837837849
2015-06-01,TSE Corporate Governance Code (Jun 2015),-3,0.006987657657657784,0.07374144144144268
2015-06-01,TSE Corporate Governance Code (Jun 2015),-2,0.0199395495495496,0.09368099099099228
2015-06-01,TSE Corporate Governance Code (Jun 2015),-1,0.0,0.09368099099099228
2015-06-01,TSE Corporate Governance Code (Jun 2015),0,-0.0023566666666665764,0.0913243243243257
2015-06-01,TSE Corporate Governance Code (Jun 2015),1,-0.006204774774774685,0.08511954954955102
2015-06-01,TSE Corporate Governance Code (Jun 2015),2,-0.06685288288288277,0.01826666666666825
2015-06-01,TSE Corporate Governance Code (Jun 2015),3,-0.05210099099099093,-0.03383432432432268
2015-06-01,TSE Corporate Governance Code (Jun 2015),4,0.001150900900900892,-0.03268342342342179
2015-06-01,TSE Corporate Governance Code (Jun 2015),5,0.008202792792792908,-0.02448063063062888
2015-06-01,TSE Corporate Governance Code (Jun 2015),6,-0.050745315315315134,-0.075225945945944
2015-06-01,TSE Corporate Governance Code (Jun 2015),7,-0.01909342342342338,-0.0943193693693674
2015-06-01,TSE Corporate Governance Code (Jun 2015),8,-0.0058415315315316005,-0.10016090090089899
2015-06-01,TSE Corporate Governance Code (Jun 2015),9,0.11411036036036042,0.013949459459461425
2015-06-01,TSE Corporate Governance Code (Jun 2015),10,0.16186225225225218,0.17581171171171361
2015-06-01,TSE Corporate Governance Code (Jun 2015),11,0.21031414414414407,0.3861258558558577
2015-06-01,TSE Corporate Governance Code (Jun 2015),12,0.07786603603603591,0.46399189189189355
2015-06-01,TSE Corporate Governance Code (Jun 2015),13,0.1999179279279277,0.6639098198198212
2015-06-01,TSE Corporate Governance Code (Jun 2015),14,0.22376981981981986,0.8876796396396411
2015-06-01,TSE Corporate Governance Code (Jun 2015),15,0.19652171171171168,1.0842013513513529
2015-06-01,TSE Corporate Governance Code (Jun 2015),16,0.22527360360360374,1.3094749549549565
2015-06-01,TSE Corporate Governance Code (Jun 2015),17,0.1761254954954955,1.485600450450452
2015-06-01,TSE Corporate Governance Code (Jun 2015),18,0.04217738738738729,1.5277778378378393
2015-06-01,TSE Corporate Governance Code (Jun 2015),19,-0.007370720720720675,1.5204071171171187
2015-06-01,TSE Corporate Governance Code (Jun 2015),20,0.07528117117117102,1.5956882882882897
2015-06-01,TSE Corporate Governance Code (Jun 2015),21,0.16863306306306308,1.7643213513513527
2015-06-01,TSE Corporate Governance Code (Jun 2015),22,0.2697849549549549,2.034106306306308
2015-06-01,TSE Corporate Governance Code (Jun 2015),23,0.3040368468468466,2.3381431531531542
2015-06-01,TSE Corporate Governance Code (Jun 2015),24,0.2622887387387387,2.600431891891893
2023-03-01,TSE P/B Reform Request (Mar 2023),-12,0.04764416988417003,0.04764416988417003
2023-03-01,TSE P/B Reform Request (Mar 2023),-11,-0.04096570141570105,0.006678468468468979
2023-03-01,TSE P/B Reform Request (Mar 2023),-10,-0.1062755727155727,-0.09959710424710372
2023-03-01,TSE P/B Reform Request (Mar 2023),-9,-0.05658544401544391,-0.15618254826254763
2023-03-01,TSE P/B Reform Request (Mar 2023),-8,-0.1138953153153151,-0.27007786357786273
2023-03-01,TSE P/B Reform Request (Mar 2023),-7,-0.1433051866151865,-0.4133830501930492
2023-03-01,TSE P/B Reform Request (Mar 2023),-6,-0.05001505791505784,-0.46339810810810705
2023-03-01,TSE P/B Reform Request (Mar 2023),-5,-0.148024929214929,-0.611423037323036
2023-03-01,TSE P/B Reform Request (Mar 2023),-4,-0.24183480051480044,-0.8532578378378365
2023-03-01,TSE P/B Reform Request (Mar 2023),-3,0.009955328185328294,-0.8433025096525082
2023-03-01,TSE P/B Reform Request (Mar 2023),-2,0.06694545688545694,-0.7763570527670512
2023-03-01,TSE P/B Reform Request (Mar 2023),-1,0.0,-0.7763570527670512
2023-03-01,TSE P/B Reform Request (Mar 2023),0,0.0006257142857143405,-0.7757313384813369
2023-03-01,TSE P/B Reform Request (Mar 2023),1,-0.052384157014156885,-0.8281154954954938
