cohort,event_label,event_rel_time,coefficient,car
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),0,-0.04922238095238107,-0.19286145431145718
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),1,-0.16403935649935675,-0.35690081081081393
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),2,-0.2666563320463322,-0.6235571428571461
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),3,-0.1958733075933079,-0.819430450450454
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),4,-0.10969028314028328,-0.9291207335907373
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),5,-0.12480725868725906,-1.0539279922779965
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),6,-0.09312423423423444,-1.1470522265122307
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),7,-0.08454120978121005,-1.2315934362934409
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),8,-0.20465818532818547,-1.4362516216216263
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),9,-0.20827516087516107,-1.6445267824967873
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),10,-0.21179213642213646,-1.856318918918924
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),11,-0.15570911196911208,-2.012028030888036
2024-08-12,Korea Value-Up Implementation Push (Aug 2024),12,-0.10872608751608748,-2.1207541184041236
